tag,estimator,variant,sigma_obs,sim_seed,est_seed,block,coverage,rung,cal_skill,cal_skill_sd,cal_pearson,cal_spearman,cal_sign_accuracy,n_split_seeds,n_params
oracle_nuisance,oracle,nuisance,0.15,9,110,rank2,0.1,lowrank,-0.01566362195511127,0.02598502542967211,0.009488528078637665,0.019231751587261633,0.514496786726463,8,204
oracle_nuisance,oracle,nuisance,0.15,9,110,rank2,0.2,lowrank,-0.008906682430551288,0.010988364907289017,-0.02766899922137509,-0.023796032927573877,0.457971753296521,8,204
oracle_nuisance,oracle,nuisance,0.15,9,110,rank2,0.4,lowrank,-0.00833457081426843,0.008185166074841292,-0.03767798391037046,-0.020283457011453142,0.43418711919388053,8,204
oracle_nuisance,oracle,nuisance,0.15,9,110,rank2,0.7,lowrank,-0.004274319937701568,0.008814324010443233,-0.002115642934338758,0.0073144829583430436,0.48685325626682846,8,204
oracle_nuisance,oracle,nuisance,0.15,10,111,rank2,0.05,lowrank,-0.04129038401664259,0.04750621614215646,-0.0072713296208242045,0.003514111372518518,0.5072050253427202,8,204
oracle_nuisance,oracle,nuisance,0.15,10,111,rank2,0.1,lowrank,-0.06371969105033307,0.09536331692566319,0.005422396319816279,0.008371232286809648,0.4940302323585682,8,204
oracle_nuisance,oracle,nuisance,0.15,10,111,rank2,0.2,lowrank,-0.009644506833815208,0.018969362155524885,0.009467183647859173,0.021977853521624537,0.5507096545712107,8,204
oracle_nuisance,oracle,nuisance,0.15,10,111,rank2,0.4,lowrank,-0.006757590921194975,0.013214525758033986,0.002410948593720835,0.01765221140417488,0.47759884385292733,8,204
oracle_nuisance,oracle,nuisance,0.15,10,111,rank2,0.7,lowrank,-0.001625275591613018,0.005045524595526035,0.004936730508809738,-0.004095086611843316,0.5269796751714835,8,204
oracle_nuisance,oracle,nuisance,0.15,11,112,rank2,0.05,lowrank,-0.010884059761553835,0.021118284587884045,0.012759821659250681,0.008020311064158204,0.48176055053599603,8,204
oracle_nuisance,oracle,nuisance,0.15,11,112,rank2,0.1,lowrank,-0.004340297800001017,0.005066897277408434,0.015861629429376484,0.01646216280368467,0.5078513421290117,8,204
oracle_nuisance,oracle,nuisance,0.15,11,112,rank2,0.2,lowrank,-0.01712805729843052,0.02978102995949548,0.001586737620967086,0.007710290767131519,0.49378319038304946,8,204
oracle_nuisance,oracle,nuisance,0.15,11,112,rank2,0.4,lowrank,-0.00493676227275007,0.009115525959854298,0.01912157713042146,0.019490152522562008,0.5011256717400814,8,204
oracle_nuisance,oracle,nuisance,0.15,11,112,rank2,0.7,lowrank,-0.0009926384672477306,0.0020590017324892632,0.013990153553122494,0.015506916657673361,0.5267313697464123,8,204
oracle_nuisance,oracle,nuisance,0.15,12,113,rank2,0.05,lowrank,-0.049767990610752044,0.08103126587947551,-0.027597870063160956,-0.02502992757195904,0.4890146562413717,8,204
oracle_nuisance,oracle,nuisance,0.15,12,113,rank2,0.1,lowrank,-0.00581311808798958,0.013233063075391663,0.04782816420730287,0.04695684846178003,0.5896320557926141,8,204
oracle_nuisance,oracle,nuisance,0.15,12,113,rank2,0.2,lowrank,-0.0005982366263675987,0.003579887214822055,0.026389026097378393,0.024751480317587133,0.5503884193555274,8,204
oracle_nuisance,oracle,nuisance,0.15,12,113,rank2,0.4,lowrank,-0.0010146163388831675,0.0020648416183643463,0.021652971914505305,0.019113359132013306,0.5497973833502757,8,204
oracle_nuisance,oracle,nuisance,0.15,12,113,rank2,0.7,lowrank,-0.00013892992863163978,0.002605615088458808,0.0317015721378452,0.02915199312933766,0.5232681023410767,8,204
oracle_nuisance,oracle,nuisance,0.15,13,114,rank2,0.05,lowrank,-0.025527087239356816,0.03521678956781003,-0.001838190284194495,-0.0064812987837099675,0.5229494322401878,8,204
oracle_nuisance,oracle,nuisance,0.15,13,114,rank2,0.1,lowrank,-0.019325188739313298,0.0285801825160822,0.009692243105187513,-0.003579121865572294,0.5030294139927766,8,204
