tag,screen,coverage,family,split_seed,value
main,PANC1,0.7,structured,2,0.004775262160813634
main,PANC1,0.7,structured,3,0.005286123965493996
main,PANC1,0.7,structured,4,0.005360831553432469
main,PANC1,0.7,structured,5,0.004929813578648823
main,PANC1,0.7,structured,6,0.005203722012107326
main,PANC1,0.7,structured,7,0.00460379067613522
main,PANC1,0.7,unrestricted,0,0.0035988198400330267
main,PANC1,0.7,unrestricted,1,0.004376871627189956
main,PANC1,0.7,unrestricted,2,0.004009917861025477
main,PANC1,0.7,unrestricted,3,0.004386385367813081
main,PANC1,0.7,unrestricted,4,0.004965780041056973
main,PANC1,0.7,unrestricted,5,0.004417717117400716
main,PANC1,0.7,unrestricted,6,0.0048374870082894435
main,PANC1,0.7,unrestricted,7,0.003945390962589657
