drug_index,label,parent_chembl_id,target_chembl_id,target_name,organism,mechanism_of_action,action_type
96,carfilzomib,CHEMBL451887,CHEMBL2364701,26S proteasome,Homo sapiens,26S proteasome inhibitor,INHIBITOR
97,sorafenib,CHEMBL1336,CHEMBL1906,RAF proto-oncogene serine/threonine-protein kinase,Homo sapiens,Serine/threonine-protein kinase RAF inhibitor,INHIBITOR
97,sorafenib,CHEMBL1336,CHEMBL1913,Platelet-derived growth factor receptor beta,Homo sapiens,Platelet-derived growth factor receptor beta inhibitor,INHIBITOR
97,sorafenib,CHEMBL1336,CHEMBL1936,Mast/stem cell growth factor receptor Kit,Homo sapiens,Stem cell growth factor receptor inhibitor,INHIBITOR
97,sorafenib,CHEMBL1336,CHEMBL1974,Receptor-type tyrosine-protein kinase FLT3,Homo sapiens,Tyrosine-protein kinase receptor FLT3 inhibitor,INHIBITOR
97,sorafenib,CHEMBL1336,CHEMBL5145,Serine/threonine-protein kinase B-raf,Homo sapiens,Serine/threonine-protein kinase B-raf inhibitor,INHIBITOR
97,sorafenib,CHEMBL1336,CHEMBL2095227,Vascular endothelial growth factor receptor,Homo sapiens,Vascular endothelial growth factor receptor inhibitor,INHIBITOR
97,sorafenib,CHEMBL1336,CHEMBL2041,Proto-oncogene tyrosine-protein kinase receptor Ret,Homo sapiens,Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR
98,valrubicin,CHEMBL1096885,CHEMBL1806,DNA topoisomerase 2-alpha,Homo sapiens,DNA topoisomerase II alpha inhibitor,INHIBITOR
98,valrubicin,CHEMBL1096885,CHEMBL2311221,DNA,Homo sapiens,DNA inhibitor,INHIBITOR
99,vandetanib,CHEMBL24828,CHEMBL267,Proto-oncogene tyrosine-protein kinase Src,Homo sapiens,Tyrosine-protein kinase SRC inhibitor,INHIBITOR
99,vandetanib,CHEMBL24828,CHEMBL4601,Protein-tyrosine kinase 6,Homo sapiens,Tyrosine-protein kinase BRK inhibitor,INHIBITOR
99,vandetanib,CHEMBL24828,CHEMBL4128,Angiopoietin-1 receptor,Homo sapiens,Tyrosine-protein kinase TIE-2 inhibitor,INHIBITOR
99,vandetanib,CHEMBL24828,CHEMBL2095227,Vascular endothelial growth factor receptor,Homo sapiens,Vascular endothelial growth factor receptor inhibitor,INHIBITOR
99,vandetanib,CHEMBL24828,CHEMBL2041,Proto-oncogene tyrosine-protein kinase receptor Ret,Homo sapiens,Tyrosine-protein kinase receptor RET inhibitor,INHIBITOR
99,vandetanib,CHEMBL24828,CHEMBL2363043,Ephrin receptor,Homo sapiens,Ephrin receptor inhibitor,INHIBITOR
99,vandetanib,CHEMBL24828,CHEMBL2363049,Epidermal growth factor receptor,Homo sapiens,Epidermal growth factor receptor inhibitor,INHIBITOR
