role,entity,n_rows,usable,mse_base,mse_pair,incremental,true_sd,bucket,contrast,fold_key,max_similarity_to_train,incremental_blind,key,block,screen,endpoint,representation,partition,fold,tag
amine,8,8,True,0.0870255988824241,0.0982237074887378,-0.1286760303878271,0.0,test_e1n,primary,p0f0,0.1621621621621621,-0.0418213047403084,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,9,143,True,0.0860528358364546,0.0861836385301915,-0.0015200276953739,0.1207485423582042,test_e1n,primary,p0f0,0.18,0.0676195412923551,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,10,26,True,0.0424353865645984,0.032183329998076,0.2415921568409862,0.1850186824662268,test_e1n,primary,p0f0,0.2903225806451613,0.1808898249415974,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,13,25,True,0.0654438173621163,0.0389511696796724,0.4048151338094116,0.2290744629299972,test_e1n,primary,p0f0,0.28,-0.3431951340021795,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,19,8,True,0.0015425514787277,0.004511631765716,-1.9247852197691295,0.0,test_e1n,primary,p0f0,0.2131147540983606,-0.0418212760361198,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,21,48,True,0.0070439830514198,0.0029045232646059,0.5876589646222279,0.0047342722073549,test_e1n,primary,p0f0,0.2553191489361702,0.0556213063775742,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,26,29,True,0.0637907017874346,0.0491040375599589,0.2302320528846836,0.2361643213940399,test_e1n,primary,p0f0,0.425,-0.2256711789665244,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,33,82,True,0.0168210298860872,0.0144073673225785,0.1434907719595117,0.0877525519308149,test_e1n,primary,p0f0,0.2777777777777778,0.0126956597338553,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,36,8,True,0.0397637432524192,0.0653649934572985,-0.6438340083417999,0.0,test_e1n,primary,p0f0,0.1791044776119403,-0.0418212760361198,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,46,26,True,0.0041587094472646,0.001316338932805,0.6834741764248753,0.0,test_e1n,primary,p0f0,0.7368421052631579,0.0783727266117318,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,54,6,True,0.0061071453690455,0.0015908139307483,0.7395159547353392,0.0,test_e1n,primary,p0f0,0.1956521739130435,-0.0816477173338965,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,61,48,True,0.0038213410097913,0.0028711627633415,0.2486504721811467,0.0204788872425978,test_e1n,primary,p0f0,0.8333333333333334,0.058211624887575,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,63,8,True,0.0130740647721184,0.017491121892835,-0.337848802014222,0.0170018013751484,test_e1n,primary,p0f0,0.1891891891891892,-0.0405505405556767,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,67,39,True,0.0280219336226446,0.0412260987206304,-0.471208206963829,0.1312298865765881,test_e1n,primary,p0f0,0.3658536585365853,0.0364318161396591,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,78,8,True,0.0288580119583997,0.0396858146527548,-0.3752095851219388,0.0371795162498307,test_e1n,primary,p0f0,0.1444444444444444,-0.0205884684139405,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,80,6,True,0.0756443315119817,0.0692975551875786,0.0839028675056473,0.2960922001674478,test_e1n,primary,p0f0,0.3,5.7798051743773726e-05,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,84,4,True,0.1908175358385307,0.1996751889332891,-0.0464194920861655,0.3041617154848168,test_e1n,primary,p0f0,0.4054054054054054,-0.0066078125924393,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,89,17,True,0.1187202774781503,0.0672306569892099,0.4337053583657324,0.2528699177326509,test_e1n,primary,p0f0,0.2857142857142857,-0.0366424736366479,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,95,38,True,0.013066375028527,0.018814636868888,-0.4399278168436997,0.0844910093948658,test_e1n,primary,p0f0,0.1935483870967742,0.2693920570487059,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,100,7,True,0.0108955351839996,0.0086190270576636,0.2089395415545148,0.0,test_e1n,primary,p0f0,0.2352941176470588,-0.0474514255102556,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,101,36,True,0.0389973300447972,0.0402328115824357,-0.0316811826917193,0.00035,test_e1n,primary,p0f0,0.2222222222222222,0.0437796603501861,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,115,14,True,0.00750195994722,0.0023154622944477,0.6913523518202993,0.0,test_e1n,primary,p0f0,0.1860465116279069,0.193557087627714,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,144,21,True,0.213951921742694,0.2471367699285828,-0.1551042304999628,0.3984130852220977,test_e1n,primary,p0f0,0.2222222222222222,-0.1009954085941555,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,146,3,True,0.2202453542480159,0.1879129623250524,0.1468016977400318,0.5684477577872336,test_e1n,primary,p0f0,0.1923076923076923,0.0074561462093412,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,147,8,True,0.032736665936856,0.0464868751088746,-0.4200247269694674,0.0,test_e1n,primary,p0f0,0.1684210526315789,-0.0418212760361198,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,150,33,True,0.105308588984011,0.1673098327754811,-0.5887577109297673,0.007801727421384,test_e1n,primary,p0f0,0.3018867924528302,0.0399987318407504,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,155,8,True,0.0780243037118872,0.0983736234063308,-0.2608074500681931,0.2746708107639293,test_e1n,primary,p0f0,0.1836734693877551,0.0270149613888307,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,159,33,True,0.1458582721370543,0.1714822855719625,-0.1756774782772061,0.3227073277661035,test_e1n,primary,p0f0,0.1842105263157894,-0.0080940340311692,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
amine,160,7,True,0.0130808419108198,0.0092753301444728,0.2909225409412818,0.0980148701060444,test_e1n,primary,p0f0,0.1566265060240964,-0.2434897636022122,sensitivity/all/protocol/yield/ecfp4/k5/p0f0/encoding_protocol,sensitivity,all,yield,ecfp4,0,0,encoding_protocol
