role,entity,n_rows,usable,mse_base,mse_pair,incremental,true_sd,bucket,contrast,fold_key,max_similarity_to_train,incremental_blind,key,block,screen,endpoint,representation,partition,fold,tag
amine,18,9,True,0.1725920340954314,0.1554050573365785,0.0995815180516942,0.4392794614795662,test_e1n,primary,p0f4,0.2127659574468085,-0.0343018641704946,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,25,44,True,0.1008997181734885,0.0808185174480363,0.1990213757676134,0.3426781057565611,test_e1n,primary,p0f4,0.3928571428571428,-0.0657115096940688,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,28,26,True,0.1948466233595459,0.1278902825146925,0.343636136415361,0.3422561444073946,test_e1n,primary,p0f4,0.4358974358974359,-0.0789363776437117,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,29,8,True,0.115970941240601,0.0900568341366749,0.2234534515863161,0.3190914286241932,test_e1n,primary,p0f4,0.3,-0.1434234536380054,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,34,9,True,0.0178476220894989,0.0093087464912828,0.4784321157965409,0.0109333333333333,test_e1n,primary,p0f4,0.3513513513513513,0.3351954305613293,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,37,2,False,0.0519955225340777,0.0549468596733817,-0.0567613708924588,0.0158391918985786,test_e1n,primary,p0f4,0.3,-0.1457828652927904,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,47,18,True,0.0045644017446214,0.0066711044311237,-0.4615506706842291,0.0291799398369648,test_e1n,primary,p0f4,0.7368421052631579,0.1204111395513903,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,48,7,True,0.1787243224033553,0.2247947369710063,-0.2577736144030613,0.2855511796341878,test_e1n,primary,p0f4,0.28,-0.0717296346856952,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,53,15,True,0.0698195176875668,0.1292239633856016,-0.8508286459935452,0.0,test_e1n,primary,p0f4,0.7647058823529411,0.0892286704550329,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
amine,61,46,True,0.0049869955251989,0.0056604404188398,-0.1350402041144995,0.0508821892568989,test_e1n,primary,p0f4,0.25,0.0693133265182877,control/hatu/chemistry/yield/shuffled_acid/k5/p0f4/shuffled_acid,control,hatu,yield,shuffled_acid,0,4,shuffled_acid
