role,entity,n_rows,usable,mse_base,mse_pair,incremental,true_sd,bucket,contrast,fold_key,max_similarity_to_train,incremental_blind,key,block,screen,endpoint,representation,partition,fold,tag
acid,187,75,True,5.874712021735695,5.61653895452099,0.0439465060175711,1.466112444953836,test_e1a,primary,p0f1,0.52,0.0330917852868486,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,192,45,True,1.153778699628131,1.127833242203811,0.0224873777204259,1.3662147001365184,test_e1a,primary,p0f1,0.3529411764705882,-0.0242408978114934,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,199,2,False,0.4572638185825325,0.4069383308681374,0.1100578827128694,0.3713218528392381,test_e1a,primary,p0f1,0.9565217391304348,0.0760421848620435,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,217,20,True,0.8405959959637821,0.777840868233422,0.0746555158859737,1.4896081415666838,test_e1a,primary,p0f1,0.3050847457627119,-0.0051791359101827,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,228,38,True,1.248306181933529,1.3404915007229752,-0.0738483235312175,1.3310852417817438,test_e1a,primary,p0f1,0.3611111111111111,-0.0349683453269835,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,237,6,True,2.006589639352714,2.0590531325699564,-0.0261456015661309,1.3523002824136738,test_e1a,primary,p0f1,0.4390243902439024,-0.056422164013792,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,242,8,True,1.5251276077969378,1.6477079921379625,-0.0803738544331336,1.1120596747478773,test_e1a,primary,p0f1,0.59375,-0.0496781386305689,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,246,10,True,0.772939527199706,0.8067125978937165,-0.0436943247246877,1.6020243282894728,test_e1a,primary,p0f1,0.3823529411764705,0.0274442684998144,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,247,10,True,2.175594416072968,2.0051962514013373,0.0783225786078297,1.5314096330146398,test_e1a,primary,p0f1,0.5,0.0370225284879935,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,251,21,True,1.308292167009765,1.296415957900592,0.0090776429062608,1.619275583864045,test_e1a,primary,p0f1,0.4516129032258064,0.0163079173419758,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,265,18,True,1.166898821033958,1.1499885963358152,0.0144915946381359,1.2782877659281449,test_e1a,primary,p0f1,0.3191489361702128,-0.0337556895407924,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
acid,271,9,True,2.7576628603790336,2.554747964610557,0.0735821984202181,1.126104778294554,test_e1a,primary,p0f1,0.5172413793103449,-0.0227541639612554,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,3,29,True,2.2922799681308677,2.369964827627862,-0.033889778114817,1.2701965417277548,test_e1n,primary,p0f1,0.4078947368421052,-0.0416162064262104,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,4,10,True,1.1926639255271587,1.2517974925272903,-0.0495810812538783,1.6287302370383454,test_e1n,primary,p0f1,0.25,-0.0237937591280235,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,11,102,True,1.911793413058654,1.8487550730578,0.0329734057928359,1.5812037692060623,test_e1n,primary,p0f1,0.2647058823529412,0.017067199826803,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,17,10,True,0.6568723875720075,0.6578216786477725,-0.0014451681844533,1.4794678359134972,test_e1n,primary,p0f1,0.2131147540983606,0.0113232373526777,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
amine,20,41,True,1.939452840455702,1.7668327353088682,0.0890045385719583,1.6443735941236637,test_e1n,primary,p0f1,0.4473684210526316,0.0179117706410751,positive/all/chemistry/yield/shuffled_both/k5/p0f1/scale0.25_shuffled_both,positive,all,yield,shuffled_both,0,1,scale0.25_shuffled_both
