screen,drug,label,incremental_skill,skill_better,skill_base,max_sim_to_train,n_pairs,stratum
A375,83,Thiotepa,0.16282765927338383,0.33831698053449105,0.21050777498040055,0.15,270,low
A375,84,Topotecan HCl,0.0069367320927582465,0.19769646361355217,0.19233218273924826,0.5161290322580645,270,high
A375,85,Tretinoin,7.109437303087773e-06,0.1685368743519767,0.1685305370912531,0.16,270,low
A375,86,Triethylenemelamine,-0.09581777004559244,0.313689640285508,0.37406160993240634,0.15,270,low
A375,87,Uracil mustard,0.11496919764262814,0.4602381140778001,0.3909379680215445,0.3495827843653931,270,medium
A375,88,Vemurafenib,0.024439231139554485,0.11831801061549463,0.10018000970536867,0.2110091743119266,270,low
A375,89,Vinblastine Sulfate,0.3621665655376888,0.40442139195882393,0.06297809376089303,0.8352430100002916,270,high
A375,90,Vincristine Sulfate,0.2700914740504756,0.5311738097694997,0.3578611957323172,0.883495145631068,270,high
A375,91,Vinorelbine Tartrate,0.14506583858838207,0.4815256904933527,0.391814289915505,0.7100066167862779,270,high
A375,92,Vismodegib,0.1984600286398257,0.6063749330860017,0.5086083744223071,0.2692307692307692,270,medium
A375,93,Vorinostat,-0.11263194561033085,-0.19086631192763415,-0.07074609231505646,0.2133200354609929,270,low
A375,94,Zoledronic Acid,-0.014933586140910782,-0.03286500711230463,-0.01826351840722673,0.14925373134328357,270,low
A375,95,abiraterone,-0.03707260053931338,0.010773192551371583,0.03873103184699286,0.20779727095516567,270,low
A375,96,carfilzomib,-0.008413876873830883,0.30600889553974137,0.3117970440772562,0.3176470588235294,270,medium
A375,97,sorafenib,-0.0010016100277729922,0.22612514484913657,0.23309866781673858,0.2692307692307692,270,medium
A375,98,valrubicin,0.026629171549420128,-0.4394022502623955,-0.48318042335553407,0.6161616161616161,270,high
