screen,model,drug,label,n_folds,n_pairs,mse,mse_zero,skill,pearson,max_sim_to_train,median_sim_to_train,bits_set,stratum
PANC1,lowrank,91,Vinorelbine Tartrate,3,270,0.01944321892286584,0.04236739345425993,0.53915816953173,0.7340283685378229,0.7100066167862779,0.08350008113018077,97,high
PANC1,lowrank,92,Vismodegib,3,270,0.010174425480440223,0.011845806902441748,0.141226077573518,0.4946728210578759,0.2692307692307692,0.08421401882516284,48,medium
PANC1,lowrank,93,Vorinostat,3,270,0.011845509477463425,0.013020286278186266,0.09054708627460994,0.29771628298167174,0.2133200354609929,0.08637978095270726,27,low
PANC1,lowrank,94,Zoledronic Acid,3,270,0.008563134925258509,0.009366947815857224,0.08554506553570644,0.31212117639938475,0.14925373134328357,0.06302238702854114,27,low
PANC1,lowrank,95,abiraterone,3,270,0.017043187458213517,0.01661315421757509,-0.028248156135171027,0.1666981005217689,0.20779727095516567,0.0772259236826166,47,low
PANC1,lowrank,96,carfilzomib,3,270,0.044181808692320024,0.05515560730053328,0.19983360142411466,0.606056162772282,0.3176470588235294,0.0912286719806657,62,medium
PANC1,lowrank,97,sorafenib,3,270,0.013646160081808833,0.012570295249839191,-0.08522888451088151,0.19387933706253377,0.2692307692307692,0.08387112887112887,51,medium
PANC1,lowrank,98,valrubicin,3,270,0.015686013816311965,0.03249593195617706,0.5156959521671945,0.7054715273782118,0.6161616161616161,0.08593169218729456,89,high
PANC1,lowrank,99,vandetanib,3,270,0.012229802340924271,0.018777805246009124,0.34635454751711886,0.573754745977054,0.4444444444444444,0.08475565669865355,57,medium
PANC1,pair_only,0,Allopurinol,3,270,0.02389381316155802,0.027827291001241723,0.14054998130352445,0.5968878230729392,0.29411764705882354,0.06452228327228328,24,medium
PANC1,pair_only,1,Altretamine,3,270,0.028403143668244136,0.031219809417269526,0.0873096538779909,0.47495729100613326,0.15,0.044741180177612826,11,low
PANC1,pair_only,2,Amifostine,3,270,0.018730186260146216,0.01951650377171966,0.04160025718967508,0.3665931884433853,0.1574074074074074,0.04659934817474234,25,low
PANC1,pair_only,3,Aminolevulinic Acid,3,270,0.02861355624205061,0.031117354336338304,0.08089115810307697,0.24854701205476823,0.20512820512820515,0.049533947104918714,16,low
PANC1,pair_only,4,Anastrozole,3,270,0.006886641708181429,0.007274880324046243,0.05370494160853138,0.2075036480236975,0.26,0.06361016766886678,34,medium
PANC1,pair_only,5,Arsenic Trioxide,3,270,0.01790931564530371,0.01790931564530371,0.0,,0.0,0.0,2,low
PANC1,pair_only,6,Axitinib,3,270,0.019022525584193498,0.016757125486405056,-0.14041831048511658,0.2219610946575589,0.2122329362828512,0.08434343459524458,52,low
PANC1,pair_only,7,Azacitidine,3,270,0.020352947680645276,0.011875232465977917,-0.7061260975053228,0.13902928447828608,0.6444444444444445,0.09173683678469706,37,high
PANC1,pair_only,8,Bendamustine HCl,3,270,0.006492751322473887,0.0074797002294035055,0.13222420888503428,0.3511539908183799,0.52,0.1007042290041646,45,high
PANC1,pair_only,9,Bleomycin,3,270,0.027179713595639324,0.041218132169557366,0.3343499850859861,0.5852518988213303,0.14039938556067588,0.06967887619656707,139,low
PANC1,pair_only,10,Bortezomib,3,270,0.017099718247374288,0.023027488508649118,0.25091450219073236,0.566374272997931,0.3176470588235294,0.08824003031164157,50,medium
PANC1,pair_only,11,Busulfan,3,270,0.015947235674064884,0.018435656340636913,0.13530546235587945,0.5135966263248196,0.11159045153868279,0.04225389866930251,15,low
PANC1,pair_only,12,Cabazitaxel,3,270,0.017756417153100935,0.04299764901037082,0.587682813143704,0.7189131972082733,0.7920792079207922,0.0835825462699949,92,high
PANC1,pair_only,13,Capecitabine,3,270,0.015674336195982578,0.012596481629551978,-0.2477058671116259,0.24358993641006746,0.2857142857142857,0.10896409743125897,53,medium
PANC1,pair_only,14,Carboplatin,3,270,0.006739556011681839,0.007334726819214321,0.08237223085746974,0.28230076210710303,0.19576719576719573,0.04949875705374901,17,low
PANC1,pair_only,15,Carmustine,3,270,0.01368172895078488,0.016012716047485245,0.14570917057038665,0.3137834469183485,0.5277777777777778,0.04744337395662999,25,high
PANC1,pair_only,16,Celecoxib,3,270,0.011022224057381338,0.013532251937818084,0.183910733989657,0.45182586005398356,0.1744507870610621,0.07483050875635489,40,low
PANC1,pair_only,17,Chlorambucil,3,270,0.028423528731992772,0.017453770532836792,-0.6290704606571701,-0.2282153614542495,0.5365853658536586,0.0772604588394062,31,high
PANC1,pair_only,18,Cisplatin,3,270,0.016165949081039726,0.01613787117444869,-0.0007247345999995177,0.13323633863255877,0.057539682539682536,0.0,5,low
PANC1,pair_only,19,Cladribine,3,270,0.029170009766154064,0.020980985041516992,-0.39558180395639414,0.30034415954032995,0.6008004574042309,0.08475719323824414,44,high
PANC1,pair_only,20,Clofarabine,3,270,0.01693257995335641,0.018029511561207374,0.0640468856720902,0.3369236710814992,0.5787878787878787,0.07585265922212647,45,high
PANC1,pair_only,21,Crizotinib,3,270,0.012510826980774143,0.014459154638798292,0.13513510377126628,0.4138080904553918,0.1854901960784314,0.08873831713853586,60,low
PANC1,pair_only,22,Cyclophosphamide,3,270,0.057313507085176706,0.07075434873520099,0.18491092239864412,0.6980363262442938,0.26988636363636365,0.04495492294710663,27,medium
