tag,screen,representation,coverage,fold_key,partition,fold,model,n_params,synthetic_target,mse,mse_zero,skill,pearson,spearman,mae,rmse,sign_accuracy,n_pairs
primary,PANC1,ecfp4,1.0,p2f7,2,7,potential,1125,False,0.01582346051965535,0.017048997629035716,0.07188323536940278,0.346367094575945,0.3397736046587712,0.09347747682609318,0.1257913372202369,0.7134328358208956,900
primary,PANC1,ecfp4,1.0,p2f9,2,9,potential,35264,False,0.028064427787669363,0.031722466875517746,0.11531382796309342,0.34221205060415993,0.28844136021567107,0.12373246098150212,0.16752440952789346,0.6454293628808865,900
primary,PANC1,ecfp4,1.0,p2f8,2,8,potential,34976,False,0.019180169189062114,0.025836959093666394,0.25764602871690534,0.5374810339622862,0.4943732029298803,0.10351755691490101,0.1384924878434282,0.7634961439588689,900
primary,PANC1,ecfp4,1.0,p0f0,0,0,lowrank,10189,False,0.019855731340629294,0.02475102825608407,0.1977815573884878,0.4462873783988588,0.39657644021782745,0.10357756663971407,0.1409103663348772,0.7158469945355191,900
primary,PANC1,ecfp4,1.0,p0f1,0,1,lowrank,3367,False,0.02359351058187869,0.029085872123542585,0.18883262356153618,0.43617422476057244,0.4362573451736772,0.11178976723056691,0.15360179224826345,0.7628865979381443,900
primary,PANC1,ecfp4,1.0,p0f2,0,2,lowrank,9838,False,0.02167676705984906,0.030094389082679626,0.27970735673365776,0.5623804320679557,0.4679734356378771,0.1053885931093938,0.1472303197709258,0.7581521739130435,900
primary,PANC1,ecfp4,1.0,p0f3,0,3,lowrank,10063,False,0.02791748868115992,0.03431265894358678,0.18637932644453814,0.43645394268518817,0.3953527514643022,0.11994140389548755,0.16708527368131496,0.7238805970149254,900
primary,PANC1,ecfp4,1.0,p0f4,0,4,lowrank,10081,False,0.02460723778553116,0.0305336392038994,0.19409417196530532,0.45935278224222964,0.38783142530628645,0.11494588536925635,0.15686694293423062,0.720626631853786,900
primary,PANC1,ecfp4,1.0,p0f5,0,5,lowrank,5491,False,0.02068836940077444,0.020459058036238174,-0.011208305100366633,0.3640976437008811,0.3358281512281703,0.10899419469115969,0.14383452089388848,0.678125,900
primary,PANC1,ecfp4,1.0,p0f6,0,6,lowrank,72484,False,0.018002483576874187,0.02117219936406537,0.14971121954250066,0.38887732270620773,0.3760631967858397,0.09704245473861062,0.13417333407527066,0.7275541795665634,900
primary,PANC1,ecfp4,1.0,p0f7,0,7,lowrank,10180,False,0.015844206698747698,0.026437030479925832,0.40068130152595915,0.6445534882015024,0.5208538446755284,0.09169844182857395,0.12587377287881577,0.7835616438356164,900
primary,PANC1,ecfp4,1.0,p0f8,0,8,lowrank,5566,False,0.01853908075237488,0.018701166458354103,0.008667144177352482,0.3255469185797838,0.28556731551520437,0.10277206234924835,0.13615829299890214,0.686046511627907,900
primary,PANC1,ecfp4,1.0,p0f9,0,9,lowrank,10351,False,0.0170091551403967,0.02526178318111573,0.32668430338236076,0.5750353778825295,0.4976339147743804,0.09834094847438904,0.13041915173929286,0.8075880758807588,900
